 # I XP T DE ATW ATP BT
    24    0.56250   42.09040    0.00100    0.00100    0.00200    0.00009
    25    0.58750   41.60488    0.00100    0.00100    0.00200    0.00008
    26    0.61250   41.10009    0.00100    0.00100    0.00200    0.00008
    27    0.63750   40.57630    0.00100    0.00100    0.00200    0.00008
    28    0.66250   40.03374    0.00100    0.00100    0.00200    0.00008
    29    0.68750   39.47266    0.00100    0.00100    0.00200    0.00008
    30    0.71250   38.89332    0.00100    0.00100    0.00200    0.00008
    31    0.73750   38.29598    0.00100    0.00100    0.00200    0.00008
    32    0.76250   37.68093    0.00100    0.00100    0.00200    0.00008
    33    0.78750   37.04846    0.00100    0.00100    0.00200    0.00007
    34    0.81250   36.39885    0.00100    0.00100    0.00200    0.00007
    35    0.83750   35.73240    0.00100    0.00100    0.00200    0.00007
    36    0.86250   35.04942    0.00100    0.00100    0.00200    0.00007
    37    0.88750   34.35023    0.00100    0.00100    0.00200    0.00007
    38    0.91250   33.63514    0.00100    0.00100    0.00200    0.00007
    39    0.93750   32.90450    0.00100    0.00100    0.00200    0.00007
    40    0.96250   32.15865    0.00100    0.00100    0.00200    0.00006
    41    0.98750   31.39791    0.00200    0.00100    0.00300    0.00006
    42    1.00000   31.01029    0.00000    0.00200    0.00203    0.00000
     1    0.00000   36.65707    0.00200    0.00000    1.00000    0.00000
     2    0.01250   36.65707    0.00100    0.00200    0.00300    0.00007
     3    0.03750   36.64011    0.00100    0.00100    0.00200    0.00007
     4    0.06250   36.60620    0.00100    0.00100    0.00200    0.00007
     5    0.08750   36.55537    0.00100    0.00100    0.00200    0.00007
     6    0.11250   36.48761    0.00100    0.00100    0.00200    0.00007
     7    0.13750   36.40298    0.00100    0.00100    0.00200    0.00007
     8    0.16250   36.30150    0.00100    0.00100    0.00200    0.00007
     9    0.18750   36.18324    0.00100    0.00100    0.00200    0.00007
    10    0.21250   36.04823    0.00100    0.00100    0.00200    0.00007
    11    0.23750   35.89653    0.00100    0.00100    0.00200    0.00007
    12    0.26250   35.72825    0.00100    0.00100    0.00200    0.00007
    13    0.28750   35.54343    0.00100    0.00100    0.00200    0.00007
    14    0.31250   35.34217    0.00100    0.00100    0.00200    0.00007
    15    0.33750   35.12457    0.00100    0.00100    0.00200    0.00007
    16    0.36250   34.89072    0.00100    0.00100    0.00200    0.00007
    17    0.38750   34.64074    0.00100    0.00100    0.00200    0.00007
    18    0.41250   34.37473    0.00100    0.00100    0.00200    0.00007
    19    0.43750   34.09282    0.00100    0.00100    0.00200    0.00007
    20    0.46250   33.79514    0.00100    0.00100    0.00200    0.00007
    21    0.48750   33.48183    0.00100    0.00100    0.00200    0.00007
    22    0.51250   33.15302    0.00100    0.00100    0.00200    0.00007
    23    0.53750   32.80889    0.00100    0.00100    0.00200    0.00007
    24    0.56250   32.44957    0.00100    0.00100    0.00200    0.00007
    25    0.58750   32.07526    0.00100    0.00100    0.00200    0.00006
    26    0.61250   31.68609    0.00100    0.00100    0.00200    0.00006
    27    0.63750   31.28228    0.00100    0.00100    0.00200    0.00006
    28    0.66250   30.86399    0.00100    0.00100    0.00200    0.00006
    29    0.68750   30.43142    0.00100    0.00100    0.00200    0.00006
    30    0.71250   29.98478    0.00100    0.00100    0.00200    0.00006
    31    0.73750   29.52426    0.00100    0.00100    0.00200    0.00006
    32    0.76250   29.05009    0.00100    0.00100    0.00200    0.00006
    33    0.78750   28.56248    0.00100    0.00100    0.00200    0.00006
    34    0.81250   28.06166    0.00100    0.00100    0.00200    0.00006
    35    0.83750   27.54786    0.00100    0.00100    0.00200    0.00006
    36    0.86250   27.02131    0.00100    0.00100    0.00200    0.00005
    37    0.88750   26.48227    0.00100    0.00100    0.00200    0.00005
    38    0.91250   25.93098    0.00100    0.00100    0.00200    0.00005
    39    0.93750   25.36769    0.00100    0.00100    0.00200    0.00005
    40    0.96250   24.79268    0.00100    0.00100    0.00200    0.00005
    41    0.98750   24.20619    0.00200    0.00100    0.00300    0.00005
    42    1.00000   23.90735    0.00000    0.00200    0.00203    0.00000
     1    0.00000   28.26076    0.00200    0.00000    1.00000    0.00000
     2    0.01250   28.26076    0.00100    0.00200    0.00300    0.00006
     3    0.03750   28.24769    0.00100    0.00100    0.00200    0.00006
     4    0.06250   28.22155    0.00100    0.00100    0.00200    0.00006
     5    0.08750   28.18235    0.00100    0.00100    0.00200    0.00006
     6    0.11250   28.13012    0.00100    0.00100    0.00200    0.00006
