 Preconditioned BiConjugate Gradient for N, ITOL =  1600    1
 ITER   Error Estimate            Alpha             Beta
  166         Infinity   -0.5928410E+00   -0.6962388E+01
  167         Infinity    0.5069445E-01    0.7818047E+01
  168         Infinity    0.1468184E+00   -0.7814275E-02
  169         Infinity    0.1560792E+01   -0.7388773E+00
  170         Infinity    0.3263391E+00    0.2428567E+01
  171         Infinity    0.1544915E+00   -0.7452149E+00
  172         Infinity    0.1021600E+01   -0.3423602E+00
  173         Infinity    0.2629305E+01   -0.1088972E+00
  174         Infinity   -0.5406639E-01   -0.6585981E+00
  175         Infinity   -0.3096025E+00   -0.1778450E+01
  176         Infinity   -0.2707554E-02   -0.2003041E-01
  177         Infinity    0.5953341E+01   -0.9596591E+00
  178         Infinity    0.4053031E+00   -0.4369243E+02
  179         Infinity    0.1951472E+00    0.2711005E+01
  180         Infinity    0.2002097E+00    0.2819937E-01
  181         Infinity    0.2069447E+00   -0.4831220E+00
  182         Infinity    0.6286006E+00   -0.2261737E+00
  183         Infinity   -0.1996640E+01   -0.1002080E+01
  184         Infinity   -0.6726134E-01   -0.4048761E+02
  185         Infinity    0.4896938E+01   -0.2062959E-01
  186         Infinity    0.2607538E+00   -0.1610953E+02
  187         Infinity    0.5785773E+00   -0.2744313E+00
  188         Infinity    0.4828358E-01    0.4011900E+00
  189         Infinity   -0.4654004E+00   -0.1454596E+01
  190         Infinity    0.5876368E-01    0.7499936E+01
  191         Infinity    0.1366490E+00    0.1337318E+00
  192         Infinity    0.1370899E+00    0.3073681E-01
  193         Infinity    0.7071150E+00   -0.7258091E+00
  194         Infinity    0.3298176E+00   -0.1999360E+00
  195         Infinity   -0.1480016E+00    0.1143319E+01
  196         Infinity   -0.3739727E+01   -0.9996808E+00
  197         Infinity    0.8257948E-01    0.3351042E+02
  198         Infinity   -0.2070729E+00    0.5416566E-02
  199         Infinity   -0.4183776E+00   -0.2049523E+01
  200         Infinity   -0.8747523E+00    0.8229917E-01
  201         Infinity    0.5964487E-01   -0.1546105E+01
  202         Infinity    0.1718428E+00   -0.2457695E+01
  203         Infinity    0.3261198E+00    0.1545030E+01
  204         Infinity    0.5045544E+00    0.1160385E+01
  205         Infinity    0.2776974E+00   -0.1993361E+01
  206         Infinity    0.5689329E+00   -0.1839375E+00
  207         Infinity    0.4697213E-01    0.2858213E+00
  208         Infinity    0.7485183E+00   -0.7901203E+00
  209         Infinity    0.8529692E+00   -0.6227799E-01
  210         Infinity    0.1430571E+00   -0.1996592E+01
  211         Infinity    0.3022921E+00   -0.1586700E+00
  212         Infinity    0.7736803E+00   -0.1027449E+01
  213         Infinity    0.4784584E-01    0.1353547E+00
  214         Infinity   -0.3845829E+00   -0.1105451E+01
  215         Infinity    0.5430428E-01    0.8608962E+01
  216         Infinity    0.2483235E+00    0.2389640E+00
  217         Infinity   -0.8765287E+00    0.1850394E+00
  218         Infinity   -0.3676910E+00   -0.5758184E+01
  219         Infinity    0.1560029E+01   -0.4713852E+00
  220         Infinity    0.3031970E+00   -0.5472263E+01
  221         Infinity    0.5729338E+00   -0.4000113E+00
  222         Infinity    0.5136560E-01   -0.7321130E+01
  223         Infinity   -0.3079017E+00    0.5871258E-03
  224         Infinity   -0.2278336E+00   -0.3906049E+01
  225         Infinity    0.6404401E+00    0.4410854E-01
  226         Infinity   -0.8469807E-01    0.9949685E+00
  227         Infinity    0.4054072E-01    0.1631816E+01
  228         Infinity   -0.4205895E+00   -0.9396870E-01
  229         Infinity   -0.4376603E+00   -0.4329663E+01
  230         Infinity   -0.3489795E+00   -0.2002100E+01
  231         Infinity   -0.1113335E+00   -0.4590040E+00
  232         Infinity    0.9508326E+00   -0.1045555E+01
  233         Infinity    0.2873291E+01   -0.1870534E+00
  234         Infinity    0.5364274E-01   -0.4168433E+02
  235         Infinity    0.4727107E+00   -0.2273116E-01
  236         Infinity    0.2556952E+00   -0.1266452E+00
  237         Infinity    0.2731509E+01   -0.2222151E+00
  238         Infinity   -0.1390037E-01    0.2109072E+03
  239         Infinity    0.5380230E+01   -0.8525846E-02
  240         Infinity    0.6190683E-02   -0.9543122E+03
  241         Infinity    0.1402416E+00    0.4204627E-02
  242         Infinity    0.6889579E+00    0.2465029E+00
  243         Infinity   -0.4280214E-01   -0.1803586E-01
  244         Infinity   -0.4013633E+00   -0.1460715E+01
  245         Infinity   -0.2436591E+01    0.1450208E+01
  246         Infinity    0.9304393E+01   -0.7703912E+01
  247         Infinity    0.8511094E-01   -0.5250936E+02
  248         Infinity    0.4922940E+01   -0.1641837E+00
  249         Infinity   -0.1351252E+00    0.4502862E+02
  250         Infinity    0.3936681E+00   -0.1010322E+00
  251         Infinity    0.6817048E-01   -0.8421860E-01
  252         Infinity   -0.5319904E+00   -0.1213317E+01
  253         Infinity    0.2072893E-01    0.2590441E+02
  254         Infinity    0.3594304E+00    0.4661491E-01
  255         Infinity    0.1778210E+01   -0.1070660E+00
  256         Infinity    0.1818332E+00   -0.6813037E+01
  257         Infinity    0.1941023E+00   -0.2338770E+00
  258         Infinity    0.2327746E+00   -0.1165233E+00
  259         Infinity    0.1078837E+01   -0.4306606E+00
  260         Infinity   -0.2048931E+00    0.9767642E+00
  261         Infinity    0.3429814E+01   -0.1244984E+01
  262         Infinity    0.9922509E-01   -0.4691886E+01
  263         Infinity    0.1311416E+01   -0.5711795E+00
  264         Infinity   -0.8773417E+00    0.6589629E+01
  265         Infinity    0.1581868E-01    0.6257665E+02
  266         Infinity   -0.1178412E+01    0.3400666E-01
  267         Infinity   -0.2425512E+00   -0.5328343E+01
  268         Infinity    0.8748103E+00   -0.3608229E+00
  269         Infinity   -0.2793057E+00    0.2643933E+01
  270         Infinity    0.1477896E+01   -0.9602071E+00
  271         Infinity    0.2299222E+00   -0.5727088E+01
  272         Infinity    0.1586378E+00   -0.2911291E+00
  273         Infinity    0.3661001E-01   -0.1703317E-01
  274         Infinity    0.2327724E+01   -0.8655261E+00
  275         Infinity   -0.3286923E+00   -0.3278151E+00
  276         Infinity   -0.3598115E+00   -0.1960968E+01
  277         Infinity    0.3016347E+00   -0.1899626E+01
  278         Infinity   -0.2390482E-01    0.9151098E+01
  279         Infinity    0.3045950E+00    0.4006984E-01
  280         Infinity    0.3489793E+00   -0.4591037E+00
  281         Infinity   -0.1186193E+00    0.1728315E+00
  282         Infinity   -0.8643621E+00   -0.1599080E+01
  283         Infinity    0.1137631E+00    0.3074867E-01
  284         Infinity    0.9302023E-01   -0.2412889E+01
  285         Infinity    0.1803653E+02    0.6014350E+00
  286         Infinity    0.1931328E+00   -0.7201376E+02
  287         Infinity    0.4121927E-01   -0.4848452E-02
  288         Infinity    0.2630388E+01   -0.9261958E+00
  289         Infinity    0.5271330E+00    0.8334706E+01
