    I     J        X             Y             P             U             V             T
   10     3   2.12500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95773E+02
   11     3   2.37500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95217E+02
   12     3   2.62500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94781E+02
   13     3   2.87500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94440E+02
   14     3   3.12500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94174E+02
   15     3   3.37500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93968E+02
   16     3   3.62500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93809E+02
   17     3   3.87500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93689E+02
   18     3   4.12500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93600E+02
   19     3   4.37500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93538E+02
   20     3   4.62500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93498E+02
   21     3   4.87500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93479E+02
   22     3   5.12500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93479E+02
   23     3   5.37500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93498E+02
   24     3   5.62500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93538E+02
   25     3   5.87500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93600E+02
   26     3   6.12500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93689E+02
   27     3   6.37500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93809E+02
   28     3   6.62500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93968E+02
   29     3   6.87500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94175E+02
   30     3   7.12500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94441E+02
   31     3   7.37500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94782E+02
   32     3   7.62500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95218E+02
   33     3   7.87500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95773E+02
   34     3   8.12500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.96480E+02
   35     3   8.37500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.97378E+02
   36     3   8.62500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.98518E+02
   37     3   8.87500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.99966E+02
   38     3   9.12500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.01801E+02
   39     3   9.37500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.04126E+02
   40     3   9.62500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.07070E+02
   41     3   9.87500E-03   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.10795E+02
   42     3   1.00000E-02   3.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.13150E+02
    1     4   0.00000E+00   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.13150E+02
    2     4   1.25000E-04   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.10808E+02
    3     4   3.75000E-04   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.07106E+02
    4     4   6.25000E-04   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.04179E+02
    5     4   8.75000E-04   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.01867E+02
    6     4   1.12500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.00039E+02
    7     4   1.37500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.98595E+02
    8     4   1.62500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.97454E+02
    9     4   1.87500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.96554E+02
   10     4   2.12500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95843E+02
   11     4   2.37500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95283E+02
   12     4   2.62500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94841E+02
   13     4   2.87500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94495E+02
   14     4   3.12500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94223E+02
   15     4   3.37500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94012E+02
   16     4   3.62500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93849E+02
   17     4   3.87500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93725E+02
   18     4   4.12500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93633E+02
   19     4   4.37500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93568E+02
   20     4   4.62500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93527E+02
   21     4   4.87500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93507E+02
   22     4   5.12500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93507E+02
   23     4   5.37500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93527E+02
   24     4   5.62500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93568E+02
   25     4   5.87500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93633E+02
   26     4   6.12500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93725E+02
   27     4   6.37500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93849E+02
   28     4   6.62500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94012E+02
   29     4   6.87500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94224E+02
   30     4   7.12500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94495E+02
   31     4   7.37500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94842E+02
   32     4   7.62500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95283E+02
   33     4   7.87500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95843E+02
   34     4   8.12500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.96554E+02
   35     4   8.37500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.97454E+02
   36     4   8.62500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.98595E+02
   37     4   8.87500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.00039E+02
   38     4   9.12500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.01867E+02
   39     4   9.37500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.04179E+02
   40     4   9.62500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.07106E+02
   41     4   9.87500E-03   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.10808E+02
   42     4   1.00000E-02   6.25000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.13150E+02
    1     5   0.00000E+00   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.13150E+02
    2     5   1.25000E-04   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.10809E+02
    3     5   3.75000E-04   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.07108E+02
    4     5   6.25000E-04   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.04183E+02
    5     5   8.75000E-04   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.01872E+02
    6     5   1.12500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   3.00045E+02
    7     5   1.37500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.98602E+02
    8     5   1.62500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.97461E+02
    9     5   1.87500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.96561E+02
   10     5   2.12500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95850E+02
   11     5   2.37500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.95290E+02
   12     5   2.62500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94848E+02
   13     5   2.87500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94501E+02
   14     5   3.12500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94229E+02
   15     5   3.37500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.94017E+02
   16     5   3.62500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93854E+02
   17     5   3.87500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93730E+02
   18     5   4.12500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93637E+02
   19     5   4.37500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93573E+02
   20     5   4.62500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93531E+02
   21     5   4.87500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93511E+02
   22     5   5.12500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93511E+02
   23     5   5.37500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93531E+02
   24     5   5.62500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93573E+02
   25     5   5.87500E-03   8.75000E-03   0.00000E+00   0.00000E+00   0.00000E+00   2.93638E+02
